timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2024-12-04,0.5066,1.027,0.4778,0.49,1003620.0,1733356799999,504965.88910000,1821,586028.00000000,294572.19360000,0
2024-12-05,0.4881,0.5031,0.46,0.4713,1701134.0,1733443199999,824252.70770000,2748,903532.00000000,438316.12620000,0
2024-12-06,0.47,0.5,0.4369,0.4972,1440476.0,1733529599999,687862.66400000,3038,689152.00000000,329500.23680000,0
2024-12-07,0.4968,0.5103,0.4802,0.5054,1023247.0,1733615999999,504261.00440000,2792,486279.00000000,239858.98750000,0
2024-12-08,0.5033,0.5098,0.476,0.4947,1228209.0,1733702399999,601170.37850000,2664,584131.00000000,286539.31580000,0
2024-12-09,0.4941,0.4941,0.3482,0.4119,3431313.0,1733788799999,1434816.26820000,5729,1310364.00000000,547876.01510000,0
2024-12-10,0.4101,0.4394,0.362,0.4365,3241889.0,1733875199999,1310858.07310000,6953,1737781.00000000,703732.38500000,0
2024-12-11,0.4365,0.4498,0.4032,0.4355,2252298.0,1733961599999,960475.91280000,4633,1193413.00000000,509188.49690000,0
2024-12-12,0.4356,0.4512,0.419,0.4254,2732905.0,1734047999999,1189035.93470000,3924,1449893.00000000,631557.23250000,0
2024-12-13,0.4262,0.4529,0.4121,0.4372,1770542.0,1734134399999,772966.42130000,2079,905779.00000000,395623.55930000,0
2024-12-14,0.4364,0.452,0.41,0.4253,1132774.0,1734220799999,486250.75200000,1241,651092.00000000,280324.72470000,0
2024-12-15,0.4251,0.4356,0.4164,0.4294,1499460.0,1734307199999,642248.22620000,4732,530343.00000000,227009.09480000,0
2024-12-16,0.4303,0.446,0.407,0.4201,1585332.0,1734393599999,673766.73290000,5180,774849.00000000,330421.87320000,0
2024-12-17,0.4188,0.4765,0.4101,0.428,3984348.0,1734479999999,1784121.71470000,4498,1943217.00000000,872698.33970000,0
2024-12-18,0.4299,0.4476,0.3861,0.3961,2765849.0,1734566399999,1149947.16150000,3661,1242438.00000000,517992.62070000,0
2024-12-19,0.3962,0.415,0.353,0.369,2350118.0,1734652799999,902484.51840000,3573,1210505.00000000,465188.02750000,0
2024-12-20,0.3704,0.3846,0.3126,0.3751,6366754.0,1734739199999,2206088.30510000,13280,2473353.00000000,866207.09080000,0
2024-12-21,0.3747,0.3915,0.3507,0.3555,1818623.0,1734825599999,671959.97680000,5091,1003849.00000000,370246.48010000,0
2024-12-22,0.3553,0.3716,0.3428,0.3564,1750175.0,1734911999999,624610.27740000,3007,715543.00000000,255432.49840000,0
2024-12-23,0.3555,0.3746,0.3451,0.369,3503059.0,1734998399999,1259287.28620000,6581,1744505.00000000,626888.72550000,0
2024-12-24,0.3706,0.4134,0.36,0.4028,4450677.0,1735084799999,1727368.32990000,4230,2292142.00000000,888397.23600000,0
2024-12-25,0.4032,0.4032,0.3782,0.3827,1361276.0,1735171199999,528437.92280000,1883,591015.00000000,229402.06360000,0
2024-12-26,0.384,0.3853,0.3502,0.3538,1687220.0,1735257599999,611090.96040000,2036,902153.00000000,326811.65460000,0
2024-12-27,0.3544,0.3686,0.325,0.3488,2096622.0,1735343999999,736343.13810000,2768,1083529.00000000,379673.65480000,0
2024-12-28,0.3498,0.359,0.3441,0.3556,1288628.0,1735430399999,451390.66670000,1886,624217.00000000,218908.87240000,0
2024-12-29,0.355,0.3558,0.3347,0.3381,1690492.0,1735516799999,584182.55840000,2341,753264.00000000,259868.98350000,0
