timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2023-11-22,35759.55,37869.61,35645.05,37414.99,1009.01373,1700697599999,37128999.44897810,21853,511.70566000,18798663.51522810,0
2023-11-23,37420.38,37649.55,36881.0,37295.07,659.95845,1700783999999,24617546.87065490,15241,346.74253000,12932481.55830680,0
2023-11-24,37300.87,38435.77,37255.74,37738.62,980.54931,1700870399999,37072373.03942500,24229,440.62771000,16643119.30981890,0
2023-11-25,37744.76,37910.17,37612.96,37803.17,224.42388,1700956799999,8476376.79991650,6792,118.26698000,4466016.10128900,0
2023-11-26,37803.17,37834.98,37164.91,37449.28,369.7735,1701043199999,13861203.27402190,8468,184.46558000,6912902.11120290,0
2023-11-27,37459.8,37578.83,36719.44,37247.26,700.07148,1701129599999,25958337.28905370,14835,371.77218000,13784690.45148460,0
2023-11-28,37241.09,38400.0,36874.84,37834.64,921.39852,1701215999999,34729274.50657990,24090,455.17950000,17127891.04642000,0
2023-11-29,37835.41,38469.59,37590.71,37864.92,888.07607,1701302399999,33730336.75738290,16274,461.16745000,17515614.44454720,0
2023-11-30,37859.57,38148.02,37504.66,37731.99,528.70903,1701388799999,19974148.51306780,11095,260.07628000,9822204.18570160,0
2023-12-01,37733.13,38999.97,37623.7,38701.36,1079.09099,1701475199999,41532957.52249720,31116,497.08786000,19128595.08408340,0
2023-12-02,38700.78,39767.22,38659.88,39470.18,685.1476,1701561599999,26831523.95463010,19529,362.06886000,14179261.45012310,0
2023-12-03,39470.17,40290.1,39295.02,39989.05,698.05445,1701647999999,27729523.10336070,20519,350.12958000,13901382.89748360,0
2023-12-04,39986.55,42409.61,39986.55,41986.4,1907.42759,1701734399999,79127286.02055990,41760,938.24255000,38914044.26779520,0
2023-12-05,41989.46,44500.0,41400.0,44083.26,1841.04771,1701820799999,78989664.85120380,48801,918.09942000,39292672.97023680,0
2023-12-06,44083.27,44328.7,43360.0,43765.39,1418.64849,1701907199999,62287471.89422070,31311,711.55622000,31243274.90574250,0
