timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,ema_99
2024-12-04,0.50660000,1.02700000,0.47780000,0.49,1003620.00000000,1733356799999,504965.88910000,1821,586028.00000000,294572.19360000,0,0.49
2024-12-05,0.48810000,0.50310000,0.46000000,0.4713,1701134.00000000,1733443199999,824252.70770000,2748,903532.00000000,438316.12620000,0,0.489626
2024-12-06,0.47000000,0.50000000,0.43690000,0.4972,1440476.00000000,1733529599999,687862.66400000,3038,689152.00000000,329500.23680000,0,0.48977748
2024-12-07,0.49680000,0.51030000,0.48020000,0.5054,1023247.00000000,1733615999999,504261.00440000,2792,486279.00000000,239858.98750000,0,0.4900899304
2024-12-08,0.50330000,0.50980000,0.47600000,0.4947,1228209.00000000,1733702399999,601170.37850000,2664,584131.00000000,286539.31580000,0,0.490182131792
2024-12-09,0.49410000,0.49410000,0.34820000,0.4119,3431313.00000000,1733788799999,1434816.26820000,5729,1310364.00000000,547876.01510000,0,0.48861648915615996
2024-12-10,0.41010000,0.43940000,0.36200000,0.4365,3241889.00000000,1733875199999,1310858.07310000,6953,1737781.00000000,703732.38500000,0,0.4875741593730368
2024-12-11,0.43650000,0.44980000,0.40320000,0.4355,2252298.00000000,1733961599999,960475.91280000,4633,1193413.00000000,509188.49690000,0,0.48653267618557605
2024-12-12,0.43560000,0.45120000,0.41900000,0.4254,2732905.00000000,1734047999999,1189035.93470000,3924,1449893.00000000,631557.23250000,0,0.4853100226618645
2024-12-13,0.42620000,0.45290000,0.41210000,0.4372,1770542.00000000,1734134399999,772966.42130000,2079,905779.00000000,395623.55930000,0,0.4843478222086272
2024-12-14,0.43640000,0.45200000,0.41000000,0.4253,1132774.00000000,1734220799999,486250.75200000,1241,651092.00000000,280324.72470000,0,0.48316686576445467
2024-12-15,0.42510000,0.43560000,0.41640000,0.4294,1499460.00000000,1734307199999,642248.22620000,4732,530343.00000000,227009.09480000,0,0.4820915284491656
2024-12-16,0.43030000,0.44600000,0.40700000,0.4201,1585332.00000000,1734393599999,673766.73290000,5180,774849.00000000,330421.87320000,0,0.4808516978801823
2024-12-17,0.41880000,0.47650000,0.41010000,0.428,3984348.00000000,1734479999999,1784121.71470000,4498,1943217.00000000,872698.33970000,0,0.47979466392257863
2024-12-18,0.42990000,0.44760000,0.38610000,0.3961,2765849.00000000,1734566399999,1149947.16150000,3661,1242438.00000000,517992.62070000,0,0.47812077064412706
2024-12-19,0.39620000,0.41500000,0.35300000,0.369,2350118.00000000,1734652799999,902484.51840000,3573,1210505.00000000,465188.02750000,0,0.4759383552312445
2024-12-20,0.37040000,0.38460000,0.31260000,0.3751,6366754.00000000,1734739199999,2206088.30510000,13280,2473353.00000000,866207.09080000,0,0.4739215881266196
2024-12-21,0.37470000,0.39150000,0.35070000,0.3555,1818623.00000000,1734825599999,671959.97680000,5091,1003849.00000000,370246.48010000,0,0.47155315636408723
2024-12-22,0.35530000,0.37160000,0.34280000,0.3564,1750175.00000000,1734911999999,624610.27740000,3007,715543.00000000,255432.49840000,0,0.4692500932368055
2024-12-23,0.35550000,0.37460000,0.34510000,0.369,3503059.00000000,1734998399999,1259287.28620000,6581,1744505.00000000,626888.72550000,0,0.4672450913720694
2024-12-24,0.37060000,0.41340000,0.36000000,0.4028,4450677.00000000,1735084799999,1727368.32990000,4230,2292142.00000000,888397.23600000,0,0.465956189544628
2024-12-25,0.40320000,0.40320000,0.37820000,0.3827,1361276.00000000,1735171199999,528437.92280000,1883,591015.00000000,229402.06360000,0,0.4642910657537354
2024-12-26,0.38400000,0.38530000,0.35020000,0.3538,1687220.00000000,1735257599999,611090.96040000,2036,902153.00000000,326811.65460000,0,0.4620812444386607
2024-12-27,0.35440000,0.36860000,0.32500000,0.3488,2096622.00000000,1735343999999,736343.13810000,2768,1083529.00000000,379673.65480000,0,0.4598156195498875
2024-12-28,0.34980000,0.35900000,0.34410000,0.3556,1288628.00000000,1735430399999,451390.66670000,1886,624217.00000000,218908.87240000,0,0.4577313071588897
2024-12-29,0.35500000,0.35580000,0.33470000,0.3381,1690492.00000000,1735516799999,584182.55840000,2341,753264.00000000,259868.98350000,0,0.4553386810157119
2024-12-30,0.33710000,0.34720000,0.32040000,0.3317,4924613.00000000,1735603199999,1638112.86680000,3543,2439473.00000000,817997.46090000,0,0.45286590739539767
2024-12-31,0.33100000,0.34560000,0.31560000,0.3316,3060368.00000000,1735689599999,1019427.99970000,2865,1504108.00000000,500205.28170000,0,0.4504405892474897
2025-01-01,0.33280000,0.44000000,0.33280000,0.4245,17701706.00000000,1735775999999,7041252.83490000,18111,9445707.00000000,3745743.08430000,0,0.4499217774625399
2025-01-02,0.42500000,0.45950000,0.41160000,0.4317,16490033.00000000,1735862399999,7132466.07510000,16425,7401147.00000000,3208275.20520000,0,0.4495573419132891
2025-01-03,0.43170000,0.46010000,0.42990000,0.4482,13070315.00000000,1735948799999,5851105.77990000,11640,7141771.00000000,3196333.14770000,0,0.44953019507502334
2025-01-04,0.44820000,0.48590000,0.44310000,0.4503,7264295.00000000,1736035199999,3344680.77990000,9527,3618289.00000000,1664847.18770000,0,0.4495455911735229
2025-01-05,0.45030000,0.45660000,0.43080000,0.4404,3385630.00000000,1736121599999,1491291.39360000,5613,1431528.00000000,631093.91980000,0,0.4493626793500524
2025-01-06,0.44220000,0.46470000,0.43250000,0.4466,5180835.00000000,1736207999999,2342004.42700000,7277,2878444.00000000,1302489.60160000,0,0.4493074257630514
2025-01-07,0.44660000,0.47000000,0.41420000,0.4175,8441019.00000000,1736294399999,3729174.43730000,11106,3992291.00000000,1767619.71450000,0,0.4486712772477903
